CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,METHOD,SITREE_EST,VALIDCD,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS
35830414010497,48528595010760,,2008,2,1,280,9478,1,3,42.0,5.5,32,191,24,29,100,4,1,,1,2009-07-16 17:28:03,2024-09-17 13:16:06,2,5,,0,,,,,,,N,3,,,,,,,22,50,TSHE02
35830413010497,48528595010760,,2008,2,1,280,9478,1,1,42.0,5.5,29,83,24,30,100,2,1,,1,2009-07-16 17:28:03,2024-09-17 13:16:06,2,5,,0,,,,,,,N,3,,,,,,,24,50,TSHE02
35830416010497,48528595010760,,2008,2,1,280,9478,1,2,42.0,7.0,32,218,24,29,100,3,1,,1,2009-07-16 17:28:03,2024-09-17 13:16:06,2,5,,0,,,,,,,N,3,,,,,,,21,50,TSHE02
35837534010497,48528596010760,,2008,2,1,122,57968,2,1,95.0,4.3,26,136,18,23,100,3,2,,1,2009-08-11 10:22:43,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
35837532010497,48528596010760,,2008,2,1,122,57968,2,2,95.0,5.0,30,125,18,27,100,3,2,,1,2009-08-11 10:22:43,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
35837533010497,48528596010760,,2008,2,1,122,57968,2,3,95.0,4.8,29,142,18,25,100,3,2,,1,2009-08-11 10:22:43,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
35828085010497,48528598010760,,2008,2,1,20,864,1,2,94.0,7.3,33,67,18,41,100,1,1,,1,2009-08-11 10:22:45,2024-09-17 13:16:06,2,5,,0,,,,,,,N,1,,,,,,,30,50,TSHE02
35828084010497,48528598010760,,2008,2,1,20,864,1,1,375.0,9.0,23,108,47,17,50,4,2,,1,2009-08-11 10:22:45,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,,,
35829142010497,48528599010760,,2008,2,1,261,46698,1,1,264.0,21.2,85,135,24,69,100,2,2,,1,2009-08-11 10:22:47,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,45,50,TSHE01
35829140010497,48528599010760,,2008,2,1,261,46698,1,2,264.0,26.1,94,209,24,82,100,2,2,,1,2009-08-11 10:22:47,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,41,50,TSHE01
35829141010497,48528599010760,,2008,2,1,261,46698,1,3,264.0,19.8,87,248,24,76,100,3,2,,1,2009-08-11 10:22:47,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,35,50,TSHE01
35830193010497,48528600010760,,2008,2,1,261,53462,1,2,264.0,10.3,33,112,24,30,100,1,2,,1,2009-08-11 10:22:49,2024-09-17 13:16:06,2,5,,,,,,,,,O,1,,,,,,,20,50,TSHE01
35830194010497,48528600010760,,2008,2,1,261,53462,1,4,264.0,10.2,35,157,24,27,100,1,2,,1,2009-08-11 10:22:49,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,18,50,TSHE01
35830195010497,48528600010760,,2008,2,1,261,53462,1,6,264.0,7.6,24,167,24,18,100,1,1,,1,2009-08-11 10:22:49,2024-09-17 13:16:06,2,5,,0,,,,,,,N,1,,,,,,,12,50,TSHE01
35837554010497,48528601010760,,2008,2,1,261,48950,2,1,264.0,12.9,42,115,24,37,100,2,2,,1,2009-08-11 10:22:51,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,24,50,TSHE01
35837555010497,48528601010760,,2008,2,1,261,48950,2,2,264.0,9.8,35,106,24,33,100,2,2,,1,2009-08-11 10:22:51,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,21,50,TSHE01
35837553010497,48528601010760,,2008,2,1,261,48950,2,3,264.0,15.7,57,112,24,52,100,2,2,,1,2009-08-11 10:22:51,2024-09-17 13:16:06,2,5,,,,,,,,,O,3,,,,,,,33,50,TSHE01
