"PLOT","SPCD","DIA","HT","Species"
"57968",95,4.3,26,"Black Spruce"
"57968",95,5,30,"Black Spruce"
"57968",95,4.8,29,"Black Spruce"
"864",94,7.3,33,"White Spruce"
"46698",264,21.2,85,"Mountain Hemlock"
"46698",264,26.1,94,"Mountain Hemlock"
"46698",264,19.8,87,"Mountain Hemlock"
"53462",264,10.3,33,"Mountain Hemlock"
"53462",264,10.2,35,"Mountain Hemlock"
"53462",264,7.6,24,"Mountain Hemlock"
"48950",264,12.9,42,"Mountain Hemlock"
"48950",264,9.8,35,"Mountain Hemlock"
"48950",264,15.7,57,"Mountain Hemlock"
"19388",264,17,49,"Mountain Hemlock"
"19388",264,13.7,44,"Mountain Hemlock"
"19388",264,11.8,45,"Mountain Hemlock"
"19388",264,17,49,"Mountain Hemlock"
"19388",264,13.7,44,"Mountain Hemlock"
"19388",264,11.8,45,"Mountain Hemlock"
"64345",108,7.3,28,"Lodgepole Pine"
"64345",108,5.4,16,"Lodgepole Pine"
"64345",108,8.1,36,"Lodgepole Pine"
"61915",108,11.6,29,"Lodgepole Pine"
"44483",108,6.1,35,"Lodgepole Pine"
"8173",264,17.8,53,"Mountain Hemlock"
"8173",264,13.6,59,"Mountain Hemlock"
"8173",264,15,61,"Mountain Hemlock"
"12597",264,12.2,61,"Mountain Hemlock"
"12597",264,16.2,61,"Mountain Hemlock"
"12597",264,12.4,52,"Mountain Hemlock"
"45315",108,6.2,19,"Lodgepole Pine"
"45315",108,9,31,"Lodgepole Pine"
"45315",108,6.7,16,"Lodgepole Pine"
"56918",264,11.5,47,"Mountain Hemlock"
"56918",264,15,54,"Mountain Hemlock"
"56918",264,9.3,42,"Mountain Hemlock"
"58749",108,8.3,22,"Lodgepole Pine"
"10483",264,9.1,30,"Mountain Hemlock"
"10483",264,8.8,34,"Mountain Hemlock"
"10483",264,6.6,26,"Mountain Hemlock"
"41267",264,16.5,55,"Mountain Hemlock"
"41267",264,17.4,61,"Mountain Hemlock"
"41267",264,14.7,48,"Mountain Hemlock"
"18580",108,9.7,34,"Lodgepole Pine"
